mtf;Re;Im
0;0.631729;0
1;0.430248;0
2;0.22263;0
3;0.164505;0
4;0.0605406;0
5;0.0374359;0
6;0.0192819;0
7;0.0430422;0
8;0.00358395;0
9;0.0130633;0
10;0.00589478;0
11;0.00620852;0
12;0.00991239;0
13;0.00987998;0
14;0.0123224;0
15;0.0208381;0
16;0.0548759;0
17;0.00281121;0
18;0.00102201;0
19;0.00270699;0
20;0.00236565;0
21;0.00534809;0
22;0.00558123;0
23;0.00603218;0
24;0.00628734;0
25;0.00866977;0
26;0.0233319;0
27;0.00129598;0
28;0.0018734;0
29;0.0027784;0
30;0.00425638;0
31;0.00416821;0
32;0.00748559;0
33;0.0108079;0
34;0.0174475;0
35;0.0395166;0
36;0.00194298;0
37;0.000737893;0
38;0.000436397;0
39;0.00104655;0
40;0.00162437;0
41;0.00275339;0
42;0.0030506;0
43;0.00327033;0
44;0.00367488;0
45;0.0051501;0
46;0.0139757;0
47;0.000790737;0
48;0.00108192;0
49;0.00140354;0
50;0.00235952;0
51;0.00290204;0
52;0.00392385;0
53;0.00548158;0
54;0.00867891;0
55;0.0209629;0
56;0.00108273;0
57;0.000369966;0
58;0.000886903;0
59;0.00113433;0
60;0.00211055;0
61;0.00269249;0
62;0.0027991;0
63;0.00312469;0
64;0.0047215;0
65;0.0128074;0
66;0.000730357;0
67;0.00114212;0
68;0.00173835;0
69;0.00262801;0
70;0.00246059;0
71;0.00533204;0
72;0.00821228;0
73;0.0136259;0
74;0.0300344;0
75;0.00146122;0
76;0.000576211;0
77;0.0002035;0
78;4.37449e-05;0
79;0.000742797;0
80;0.00111696;0
81;0.00191791;0
82;0.00234371;0
83;0.00245287;0
84;0.00284679;0
85;0.00418223;0
86;0.011311;0
87;0.000650178;0
88;0.000883629;0
89;0.001162;0
90;0.00196235;0
91;0.00252857;0
92;0.00352974;0
93;0.00506018;0
94;0.00820659;0
95;0.0196727;0
96;0.00102313;0
97;0.000346154;0
98;0.000857427;0
99;0.00108507;0
100;0.00202582;0
101;0.00279101;0
102;0.00287038;0
103;0.00329507;0
104;0.00515281;0
105;0.0138848;0
106;0.000803505;0
107;0.00120581;0
108;0.00185607;0
109;0.00283067;0
110;0.00289753;0
111;0.00598768;0
112;0.00924584;0
113;0.0155292;0
114;0.0345906;0
115;0.00171756;0
116;0.000657677;0
117;0.000343929;0
118;0.00102595;0
119;0.00154403;0
120;0.00265142;0
121;0.00361109;0
122;0.00378757;0
123;0.00462217;0
124;0.00710457;0
125;0.0189892;0
126;0.00111525;0
127;0.00155036;0
128;0.00207307;0
129;0.0034683;0
130;0.00469092;0
131;0.00726049;0
132;0.011025;0
133;0.0182237;0
134;0.0432942;0
135;0.00226163;0
136;0.000814758;0
137;0.00253129;0
138;0.00310425;0
139;0.00627715;0
140;0.00724478;0
141;0.0117864;0
142;0.0128717;0
143;0.0214583;0
144;0.054559;0
145;0.00297914;0
146;0.0136165;0
147;0.020281;0
148;0.0253473;0
149;0.0211034;0
150;0.0689918;0
151;0.122074;0
152;0.205554;0
153;0.398985;0
154;0.0175466;0
155;0.00926908;0
156;0.00495337;0
157;0.00219977;0
